0,609,735,643,664,518,641,688,561,456,274,416,302,424,503,453,329,205,455,134,690,677,652,366,253,77
609,0,457,364,385,236,366,414,69,162,349,533,414,646,725,676,551,407,573,476,412,402,66,246,474,599
735,457,0,117,164,223,394,443,409,294,482,660,546,773,851,803,677,533,699,601,46,430,499,372,601,726
643,364,117,0,47,130,301,349,317,202,389,569,453,680,759,711,585,441,607,511,72,338,407,279,509,633
664,385,164,47,0,151,325,373,335,222,410,589,474,701,780,730,605,461,628,530,118,359,429,301,530,654
518,236,223,130,151,0,187,237,184,74,264,443,328,556,634,585,460,316,484,385,176,223,279,155,385,508
641,366,394,301,325,187,0,94,316,204,387,565,452,678,757,707,582,437,606,507,348,71,409,278,506,631
688,414,443,349,373,237,94,0,361,253,435,613,499,724,805,757,634,484,652,553,397,36,457,325,554,679
561,69,409,317,335,184,316,361,0,113,305,486,372,598,678,627,503,358,525,428,363,351,117,197,426,551
456,162,294,202,222,74,204,253,113,0,202,380,267,494,573,523,398,254,421,322,249,240,204,93,322,446
274,349,482,389,410,264,387,435,305,202,0,170,51,312,391,342,217,71,209,140,436,424,390,112,141,263
416,533,660,569,589,443,565,613,486,380,170,0,118,457,537,487,363,216,49,284,614,602,575,291,286,407
302,414,546,453,474,328,452,499,372,267,51,118,0,343,423,373,248,102,158,169,501,488,456,177,173,292
424,646,773,680,701,556,678,724,598,494,312,457,343,0,117,58,100,242,497,291,727,718,689,403,173,413
503,725,851,759,780,634,757,805,678,573,391,537,423,117,0,67,180,321,576,369,805,794,769,483,252,493
453,676,803,711,730,585,707,757,627,523,342,487,373,58,67,0,131,271,525,320,757,744,718,432,203,443
329,551,677,585,605,460,582,634,503,398,217,363,248,100,180,131,0,146,402,194,631,624,595,308,78,318
205,407,533,441,461,316,437,484,358,254,71,216,102,242,321,271,146,0,255,71,488,474,448,163,71,197
455,573,699,607,628,484,606,652,525,421,209,49,158,497,576,525,402,255,0,322,655,643,615,331,325,447
134,476,601,511,530,385,507,553,428,322,140,284,169,291,369,320,194,71,322,0,556,543,518,232,121,124
690,412,46,72,118,176,348,397,363,249,436,614,501,727,805,757,631,488,655,556,0,385,455,327,556,680
677,402,430,338,359,223,71,36,351,240,424,602,488,718,794,744,624,474,643,543,385,0,445,315,545,667
652,66,499,407,429,279,409,457,117,204,390,575,456,689,769,718,595,448,615,518,455,445,0,290,518,641
366,246,372,279,301,155,278,325,197,93,112,291,177,403,483,432,308,163,331,232,327,315,290,0,232,356
253,474,601,509,530,385,506,554,426,322,141,286,173,173,252,203,78,71,325,121,556,545,518,232,0,243
77,599,726,633,654,508,631,679,551,446,263,407,292,413,493,443,318,197,447,124,680,667,641,356,243,0
